source	target	weight
PA14_09350	PA14_39810	0.865849996887036
PA14_28970	PA14_39810	0.852863427319309
PA14_32720	PA14_39810	0.923914967567611
PA14_33260	PA14_39810	0.911845353485942
PA14_38210	PA14_39810	0.928581390481322
PA14_38220	PA14_39810	0.948573387306955
PA14_00620	PA14_39880	0.895682230885353
PA14_09210	PA14_39880	0.8598933477414
PA14_09230	PA14_39880	0.900411790460324
PA14_09240	PA14_39880	0.894254239124434
PA14_09280	PA14_39880	0.872293700335528
PA14_09290	PA14_39880	0.914062156257532
PA14_09300	PA14_39880	0.852942420627154
PA14_09320	PA14_39880	0.900804750747276
PA14_09340	PA14_39880	0.855251178677766
PA14_09370	PA14_39880	0.896623705934663
PA14_09380	PA14_39880	0.856485132482583
PA14_09450	PA14_39880	0.977191983582551
PA14_09500	PA14_39880	0.928468608598494
PA14_18140	PA14_39880	0.88351084798436
PA14_26020	PA14_39880	0.925249131341329
PA14_37210	PA14_39880	0.939449594852841
PA14_37250	PA14_39880	0.968616800519478
PA14_37290	PA14_39880	0.955178104948115
PA14_37310	PA14_39880	0.946796120324887
PA14_09210	PA14_39890	0.905721443578486
PA14_09220	PA14_39890	0.874383320002325
PA14_09230	PA14_39890	0.889522543923021
PA14_09240	PA14_39890	0.921213589209897
PA14_09270	PA14_39890	0.879289791552857
PA14_09280	PA14_39890	0.913104981742077
PA14_09290	PA14_39890	0.88646415040976
PA14_09300	PA14_39890	0.897169136569929
PA14_09320	PA14_39890	0.887905778094723
PA14_09340	PA14_39890	0.876454801571071
PA14_09370	PA14_39890	0.916540943408241
PA14_09380	PA14_39890	0.884173983501017
PA14_09450	PA14_39890	0.995287801138963
PA14_09500	PA14_39890	0.891272673827433
PA14_18140	PA14_39890	0.868213900591614
PA14_26020	PA14_39890	0.948743888328958
PA14_37210	PA14_39890	0.890275551136668
PA14_37250	PA14_39890	0.982633103535537
PA14_37290	PA14_39890	0.960677325130219
PA14_37310	PA14_39890	0.948055959764427
PA14_39880	PA14_39890	0.977153147946218
PA14_00620	PA14_39925	0.867182879229648
PA14_09210	PA14_39925	0.886222935975634
PA14_09220	PA14_39925	0.855363364592354
PA14_09230	PA14_39925	0.872158847857552
PA14_09240	PA14_39925	0.902899973546046
PA14_09270	PA14_39925	0.863558250244779
PA14_09280	PA14_39925	0.897225274000887
PA14_09290	PA14_39925	0.87185361034613
PA14_09300	PA14_39925	0.880127785296998
PA14_09320	PA14_39925	0.864659808125651
PA14_09340	PA14_39925	0.857967623808511
PA14_09370	PA14_39925	0.894364935891832
PA14_09380	PA14_39925	0.861128051947454
PA14_09450	PA14_39925	0.996854766481026
PA14_09500	PA14_39925	0.881622234407057
PA14_18140	PA14_39925	0.894084826108939
PA14_26020	PA14_39925	0.945223268532417
PA14_37210	PA14_39925	0.908639474857936
PA14_37250	PA14_39925	0.982174131632639
PA14_37290	PA14_39925	0.971613365226081
PA14_37310	PA14_39925	0.961853602680502
PA14_39880	PA14_39925	0.976156406520569
PA14_39890	PA14_39925	0.994383867022648
PA14_09210	PA14_39945	0.901958002889446
PA14_09220	PA14_39945	0.890346143709697
PA14_09240	PA14_39945	0.90362645649291
PA14_09270	PA14_39945	0.871421874816611
PA14_09280	PA14_39945	0.906169975362995
PA14_09300	PA14_39945	0.894446383458094
PA14_09370	PA14_39945	0.890396793990178
PA14_09380	PA14_39945	0.859040036395106
PA14_09450	PA14_39945	0.98009427673609
PA14_26020	PA14_39945	0.936184117487099
PA14_37210	PA14_39945	0.856962181406351
PA14_37250	PA14_39945	0.9725177061323
PA14_37290	PA14_39945	0.950043310673261
PA14_37310	PA14_39945	0.946492064734426
PA14_39880	PA14_39945	0.930152590904723
PA14_39890	PA14_39945	0.981728705101833
PA14_39925	PA14_39945	0.97860618229479
PA14_00620	PA14_40230	0.865499514699999
PA14_09210	PA14_40230	0.892424501581253
PA14_09220	PA14_40230	0.861564438629426
PA14_09230	PA14_40230	0.925308021693907
PA14_09240	PA14_40230	0.906536353214859
PA14_09270	PA14_40230	0.928846145639594
PA14_09280	PA14_40230	0.908096218079475
PA14_09290	PA14_40230	0.921986951882028
PA14_09300	PA14_40230	0.905391299729804
PA14_09320	PA14_40230	0.901375006488815
PA14_09340	PA14_40230	0.934592610150286
PA14_09350	PA14_40230	0.909606691803347
PA14_09370	PA14_40230	0.904881315017343
PA14_09380	PA14_40230	0.889392619726098
PA14_09500	PA14_40230	0.852079831235419
PA14_18140	PA14_40230	0.931168379506925
PA14_26020	PA14_40230	0.914723536650965
PA14_31290	PA14_40230	0.882589394035031
PA14_32720	PA14_40230	0.886070061068747
PA14_34870	PA14_40230	0.864241641732793
PA14_38210	PA14_40230	0.895258324194727
PA14_38220	PA14_40230	0.911020142750823
PA14_39780	PA14_40230	0.871133056307126
PA14_39810	PA14_40230	0.904778125711883
PA14_00620	PA14_40240	0.880745664073767
PA14_09270	PA14_40240	0.861934455276374
PA14_09340	PA14_40240	0.86863077768352
PA14_18140	PA14_40240	0.939620552333832
PA14_26020	PA14_40240	0.851299227866678
PA14_38220	PA14_40240	0.853417131834381
PA14_39780	PA14_40240	0.892383213190644
PA14_39810	PA14_40240	0.902159546869393
PA14_40230	PA14_40240	0.966284121250203
PA14_09210	PA14_40250	0.901237000207018
PA14_09220	PA14_40250	0.866628072222303
PA14_09230	PA14_40250	0.941880107164795
PA14_09240	PA14_40250	0.921580676347201
PA14_09270	PA14_40250	0.933070572761218
PA14_09280	PA14_40250	0.914562229788247
PA14_09290	PA14_40250	0.943221301844117
PA14_09300	PA14_40250	0.908737508076486
PA14_09320	PA14_40250	0.919643803536096
PA14_09340	PA14_40250	0.951297674987316
PA14_09350	PA14_40250	0.921592996007056
PA14_09370	PA14_40250	0.914699470017826
PA14_09380	PA14_40250	0.904383902815168
PA14_09500	PA14_40250	0.857599857276261
PA14_18140	PA14_40250	0.884433073282332
PA14_26020	PA14_40250	0.908131717801299
PA14_31290	PA14_40250	0.872801433723124
PA14_31350	PA14_40250	0.90018134427049
PA14_32720	PA14_40250	0.922109412428141
PA14_34870	PA14_40250	0.918275914506747
PA14_38210	PA14_40250	0.913684569986287
PA14_38220	PA14_40250	0.942798628603739
PA14_39810	PA14_40250	0.91134991053176
PA14_40230	PA14_40250	0.982975570427818
PA14_40240	PA14_40250	0.928300954617376
PA14_00620	PA14_40260	0.879223149898717
PA14_09210	PA14_40260	0.89756338030232
PA14_09220	PA14_40260	0.853823311420124
PA14_09230	PA14_40260	0.964397226315965
PA14_09240	PA14_40260	0.9268970340083
PA14_09270	PA14_40260	0.923886464799164
PA14_09280	PA14_40260	0.91258115896377
PA14_09290	PA14_40260	0.96362159307829
PA14_09300	PA14_40260	0.900692637190248
PA14_09320	PA14_40260	0.931576530875855
PA14_09340	PA14_40260	0.958766407369233
PA14_09350	PA14_40260	0.891156343011548
PA14_09370	PA14_40260	0.926948330572705
PA14_09380	PA14_40260	0.924885904134338
PA14_09500	PA14_40260	0.871802779091461
PA14_18140	PA14_40260	0.900942950193011
PA14_26020	PA14_40260	0.911827653486865
PA14_32720	PA14_40260	0.875431149657699
PA14_34870	PA14_40260	0.914862491470317
PA14_37250	PA14_40260	0.851261027285463
PA14_38210	PA14_40260	0.879797545591203
PA14_38220	PA14_40260	0.9215051913779
PA14_39810	PA14_40260	0.893147009237215
PA14_39880	PA14_40260	0.850126064446505
PA14_40230	PA14_40260	0.967847498945404
PA14_40240	PA14_40260	0.929778444544253
PA14_40250	PA14_40260	0.981671624083809
PA14_09210	PA14_40290	0.859391327693261
PA14_09230	PA14_40290	0.929189368176525
PA14_09240	PA14_40290	0.878833077400279
PA14_09270	PA14_40290	0.879370985914453
PA14_09280	PA14_40290	0.863828429656223
PA14_09290	PA14_40290	0.90626456976239
PA14_09300	PA14_40290	0.852169431991797
PA14_09320	PA14_40290	0.894813256032713
PA14_09340	PA14_40290	0.922296847516358
PA14_09350	PA14_40290	0.87173126083632
PA14_09370	PA14_40290	0.880735874344222
PA14_09380	PA14_40290	0.886236473107583
PA14_11140	PA14_40290	0.876145511648909
PA14_31350	PA14_40290	0.911930039792681
PA14_32720	PA14_40290	0.884692676646408
PA14_34870	PA14_40290	0.97624372559842
PA14_38210	PA14_40290	0.893036109443036
PA14_38220	PA14_40290	0.930963954943945
PA14_40230	PA14_40290	0.875757444798651
PA14_40250	PA14_40290	0.92619356083763
PA14_40260	PA14_40290	0.932360897252375
PA14_06170	PA14_47390	0.908221319473595
PA14_06180	PA14_47390	0.855675464440652
PA14_09350	PA14_47390	0.875073815780115
PA14_11140	PA14_47390	0.865255515882623
PA14_31350	PA14_47390	0.909352474451546
PA14_32720	PA14_47390	0.941506778792059
PA14_33260	PA14_47390	0.874110341417869
PA14_38210	PA14_47390	0.95529588902149
PA14_38220	PA14_47390	0.936423878896584
PA14_39810	PA14_47390	0.883770524088065
PA14_40230	PA14_47390	0.851820800165355
PA14_40250	PA14_47390	0.879542603902694
PA14_09210	PA14_47400	0.858608633035287
PA14_09230	PA14_47400	0.895410660253343
PA14_09240	PA14_47400	0.871077434763269
PA14_09270	PA14_47400	0.877856593922452
PA14_09280	PA14_47400	0.851327067773587
PA14_09290	PA14_47400	0.866529563715058
PA14_09320	PA14_47400	0.876694212107892
PA14_09340	PA14_47400	0.898077679818508
PA14_09350	PA14_47400	0.879611992499663
PA14_09370	PA14_47400	0.859388937311453
PA14_31350	PA14_47400	0.930214802204042
PA14_32720	PA14_47400	0.904754706015508
PA14_33260	PA14_47400	0.859451851642939
PA14_34870	PA14_47400	0.944869351077282
PA14_38210	PA14_47400	0.905723606500295
PA14_38220	PA14_47400	0.937171277752568
PA14_39810	PA14_47400	0.861344171379128
PA14_40230	PA14_47400	0.875174961227666
